alloc,,robots,,perm,,reason,,time
2,,[r2, r3, r4, r5, r6, r1],,[4, 4, 1, 1, 1, 450],,noPlanSynthesised,,82978
2,,[r2, r3, r4, r5, r6, r1],,[3, 4, 1, 1, 1, 664],,noPlanSynthesised,,83010
2,,[r2, r3, r4, r5, r6, r1],,[3, 4, 2, 1, 1, 610],,noPlanSynthesised,,83056
2,,[r2, r3, r4, r5, r6, r1],,[3, 3, 1, 1, 1, 320],,noPlanSynthesised,,83095
2,,[r2, r3, r4, r5, r6, r1],,[6, 2, 2, 1, 1, 371],,noPlanSynthesised,,83117
2,,[r2, r3, r4, r5, r6, r1],,[4, 5, 2, 1, 1, 634],,noPlanSynthesised,,83147
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 442],,noPlanSynthesised,,83182
2,,[r2, r3, r4, r5, r6, r1],,[2, 5, 1, 1, 1, 28],,noPlanSynthesised,,83208
2,,[r2, r3, r4, r5, r6, r1],,[6, 4, 1, 1, 1, 539],,noPlanSynthesised,,83228
2,,[r2, r3, r4, r5, r6, r1],,[4, 6, 2, 1, 1, 349],,noPlanSynthesised,,83277
2,,[r2, r3, r4, r5, r6, r1],,[5, 5, 1, 1, 1, 6],,noPlanSynthesised,,83442
2,,[r2, r3, r4, r5, r6, r1],,[6, 1, 2, 1, 1, 412],,noPlanSynthesised,,83728
2,,[r2, r3, r4, r5, r6, r1],,[6, 5, 1, 1, 1, 390],,noPlanSynthesised,,83932
2,,[r2, r3, r4, r5, r6, r1],,[5, 6, 1, 1, 1, 709],,noPlanSynthesised,,84005
2,,[r2, r3, r4, r5, r6, r1],,[2, 1, 1, 1, 1, 267],,noPlanSynthesised,,84036
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 1, 14914],,noPlanSynthesised,,84551
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 124022],,noPlanSynthesised,,84569
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 158259],,noPlanSynthesised,,84579
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 68671],,noPlanSynthesised,,84590
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 2, 224995],,noPlanSynthesised,,85033
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 1, 343129],,noPlanSynthesised,,85296
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 241609],,noPlanSynthesised,,85310
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 264056],,noPlanSynthesised,,85317
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 52995],,noPlanSynthesised,,85331
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 2, 68919],,noPlanSynthesised,,85541
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 292703],,noPlanSynthesised,,85604
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 132481],,noPlanSynthesised,,85682
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 1, 43865],,noPlanSynthesised,,86107
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 2, 247593],,noPlanSynthesised,,86335
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 1, 118524],,noPlanSynthesised,,86344
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 183023],,noPlanSynthesised,,86347
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 305486],,noPlanSynthesised,,86372
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 2, 118562],,noPlanSynthesised,,95441
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 239842],,noPlanSynthesised,,95627
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 2, 14794],,noPlanSynthesised,,95637
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 271612],,noPlanSynthesised,,95642
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 241255],,noPlanSynthesised,,95813
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 2, 99109],,noPlanSynthesised,,95825
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 2, 103124],,noPlanSynthesised,,96016
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 72530],,noPlanSynthesised,,96128
